farm,plot,pest,severity,date
Gema,GMA-001A,Lagarta Desfolhadora,Baixo,01/07/24
Boi Preto VI,B06-101,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-102,Psilideo,Moderado,01/05/24
Boi Preto VI,B06-103,Psilideo,Moderado,01/05/24
Boi Preto VI,B06-104,Psilideo,Alto,01/05/24
Boi Preto VI,B06-105,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-106,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-107,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-108,Psilideo,Moderado,01/05/24
Boi Preto VI,B06-109,Psilideo,Moderado,01/05/24
Boi Preto VI,B06-110,Psilideo,Alto,01/05/24
Boi Preto VI,B06-111,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-112,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-113,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-114,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-115,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-116,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-117,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-118,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-119,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-120,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-121,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-122,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-123,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-124,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-125,Psilideo,Baixo,01/05/24
Boi Preto VI,B06-126,Psilideo,Baixo,01/05/24
Boi Preto XI,B11-001,Formiga,Baixo,01/10/24
Boi Preto XI,B11-002,Formiga,Baixo,01/10/24
Boi Preto XI,B11-002A,Formiga,Baixo,01/10/24
Boi Preto XI,B11-003,Formiga,Baixo,01/10/24
Boi Preto XI,B11-004,Formiga,Baixo,01/10/24
Boi Preto XI,B11-005,Formiga,Baixo,01/10/24
Boi Preto XI,B11-006,Formiga,Baixo,01/10/24
Boi Preto XI,B11-007,Formiga,Baixo,01/10/24
Boi Preto XI,B11-008,Formiga,Baixo,01/10/24
Boi Preto XI,B11-009,Formiga,Baixo,01/10/24
Boi Preto XI,B11-010,Formiga,Baixo,01/10/24
Boi Preto XI,B11-011,Formiga,Baixo,01/10/24
Boi Preto XI,B11-012,Formiga,Baixo,01/10/24
Boi Preto XI,B11-013,Formiga,Baixo,01/10/24
Boi Preto XI,B11-014,Formiga,Baixo,01/10/24
Boi Preto XI,B11-015,Formiga,Baixo,01/10/24
Boi Preto XI,B11-016,Formiga,Baixo,01/10/24
Boi Preto XI,B11-017,Formiga,Baixo,01/10/24
Boi Preto XI,B11-017A,Formiga,Baixo,01/10/24
Boi Preto XI,B11-018,Formiga,Alto,01/10/24
Boi Preto XI,B11-019,Formiga,Baixo,01/10/24
Boi Preto XI,B11-020,Formiga,Moderado,01/10/24
Boi Preto XI,B11-022,Formiga,Baixo,01/10/24
Boi Preto XI,B11-023,Formiga,Baixo,01/10/24
Boi Preto XI,B11-024,Formiga,Baixo,01/10/24
Boi Preto XI,B11-025,Formiga,Alto,01/10/24
Boi Preto XI,B11-026,Formiga,Alto,01/10/24
Boi Preto XI,B11-027,Formiga,Baixo,01/10/24
Boi Preto XI,B11-029,Formiga,Baixo,01/10/24
Boi Preto XI,B11-030,Formiga,Baixo,01/10/24
Boi Preto XI,B11-031,Formiga,Alto,01/10/24
Boi Preto XI,B11-032,Formiga,Alto,01/10/24
Boi Preto XI,B11-033,Formiga,Baixo,01/10/24
Boi Preto XI,B11-034,Formiga,Alto,01/10/24
Boi Preto XI,B11-035,Formiga,Baixo,01/10/24
Boi Preto XI,B11-036,Formiga,Baixo,01/10/24
Boi Preto XI,B11-037,Formiga,Alto,01/10/24
Boi Preto XI,B11-038,Formiga,Alto,01/10/24
Boi Preto XI,B11-039,Formiga,Alto,01/10/24
Boi Preto XI,B11-040,Formiga,Alto,01/10/24
Boi Preto XI,B11-041,Formiga,Alto,01/10/24
Boi Preto XI,B11-042,Formiga,Moderado,01/10/24
Boi Preto XI,B11-043,Formiga,Alto,01/10/24
Boi Preto XI,B11-044,Formiga,Baixo,01/10/24
Boi Preto XI,B11-045,Formiga,Moderado,01/10/24
Boi Preto XI,B11-046,Formiga,Alto,01/10/24
Boi Preto XI,B11-047,Formiga,Moderado,01/10/24
Boi Preto XI,B11-048,Formiga,Moderado,01/10/24
Boi Preto XI,B11-049,Formiga,Moderado,01/10/24
Boi Preto XI,B11-050,Formiga,Baixo,01/10/24
Boi Preto XI,B11-051,Formiga,Moderado,01/10/24
Boi Preto XI,B11-052,Formiga,Alto,01/10/24
Boi Preto XI,B11-053,Formiga,Alto,01/10/24
Boi Preto XI,B11-054,Formiga,Alto,01/10/24
Boi Preto XI,B11-055,Formiga,Alto,01/10/24
Boi Preto XI,B11-056,Formiga,Alto,01/10/24
Boi Preto XI,B11-057,Formiga,Alto,01/10/24
Gema,GMA-001,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-001B,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-002,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-003,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-004,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-004A,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-004B,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-005,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-006,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-007,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-008,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-009,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-009A,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-010,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-011,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-011A,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-012,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-013,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-014,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-015,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-016,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-017,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-018,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-019,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-020,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-021,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-021A,Lagarta Desfolhadora,Baixo,01/07/24
Gema,GMA-022,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-022A,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-023,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-024,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-024A,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-025,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-025A,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-026,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-027,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-028,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-028A,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-029,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-030,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-030A,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-031,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-032,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-033A,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-033B,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-034,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-035,Lagarta Desfolhadora,Alto,01/07/24
Gema,GMA-036,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-037,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-038,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-039,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-039A,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-040,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-041,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-042,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-043,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-044,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-045,Lagarta Desfolhadora,Moderado,01/07/24
Gema,GMA-026,Lagarta Desfolhadora,Baixo,05/07/24
Gema,GMA-026,Lagarta Desfolhadora,Baixo,10/07/24
Gema,GMA-026,Lagarta Desfolhadora,Baixo,16/08/24
Gema,GMA-026,Lagarta Desfolhadora,Baixo,14/11/24
Gema,GMA-027,Lagarta Desfolhadora,Baixo,06/07/24
Gema,GMA-027,Lagarta Desfolhadora,Baixo,11/07/24
Gema,GMA-027,Lagarta Desfolhadora,Baixo,16/08/24
Gema,GMA-027,Lagarta Desfolhadora,Baixo,14/11/24
Gema,GMA-028,Lagarta Desfolhadora,Baixo,07/07/24
Gema,GMA-028,Lagarta Desfolhadora,Baixo,12/07/24
Gema,GMA-028,Lagarta Desfolhadora,Baixo,16/08/24
Gema,GMA-028,Lagarta Desfolhadora,Baixo,14/11/24
Gema,GMA-029,Lagarta Desfolhadora,Baixo,09/07/24
Gema,GMA-029,Lagarta Desfolhadora,Baixo,14/07/24
Gema,GMA-029,Lagarta Desfolhadora,Baixo,16/08/24
Gema,GMA-029,Lagarta Desfolhadora,Baixo,14/11/24
