forest,plot,pest,severity,date
Gema,GMA-001A,Lagarta Desfolhadora,LOW,2024-07-01
Boi Preto VI,B06-101,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-102,Psilideo,MEDIUM,2024-05-01
Boi Preto VI,B06-103,Psilideo,MEDIUM,2024-05-01
Boi Preto VI,B06-104,Psilideo,HIGH,2024-05-01
Boi Preto VI,B06-105,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-106,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-107,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-108,Psilideo,MEDIUM,2024-05-01
Boi Preto VI,B06-109,Psilideo,MEDIUM,2024-05-01
Boi Preto VI,B06-110,Psilideo,HIGH,2024-05-01
Boi Preto VI,B06-111,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-112,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-113,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-114,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-115,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-116,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-117,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-118,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-119,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-120,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-121,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-122,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-123,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-124,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-125,Psilideo,LOW,2024-05-01
Boi Preto VI,B06-126,Psilideo,LOW,2024-05-01
Boi Preto XI,B11-001,Formiga,LOW,2024-10-01
Boi Preto XI,B11-002,Formiga,LOW,2024-10-01
Boi Preto XI,B11-002A,Formiga,LOW,2024-10-01
Boi Preto XI,B11-003,Formiga,LOW,2024-10-01
Boi Preto XI,B11-004,Formiga,LOW,2024-10-01
Boi Preto XI,B11-005,Formiga,LOW,2024-10-01
Boi Preto XI,B11-006,Formiga,LOW,2024-10-01
Boi Preto XI,B11-007,Formiga,LOW,2024-10-01
Boi Preto XI,B11-008,Formiga,LOW,2024-10-01
Boi Preto XI,B11-009,Formiga,LOW,2024-10-01
Boi Preto XI,B11-010,Formiga,LOW,2024-10-01
Boi Preto XI,B11-011,Formiga,LOW,2024-10-01
Boi Preto XI,B11-012,Formiga,LOW,2024-10-01
Boi Preto XI,B11-013,Formiga,LOW,2024-10-01
Boi Preto XI,B11-014,Formiga,LOW,2024-10-01
Boi Preto XI,B11-015,Formiga,LOW,2024-10-01
Boi Preto XI,B11-016,Formiga,LOW,2024-10-01
Boi Preto XI,B11-017,Formiga,LOW,2024-10-01
Boi Preto XI,B11-017A,Formiga,LOW,01/10/24
Boi Preto XI,B11-018,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-019,Formiga,LOW,2024-10-01
Boi Preto XI,B11-020,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-022,Formiga,LOW,2024-10-01
Boi Preto XI,B11-023,Formiga,LOW,2024-10-01
Boi Preto XI,B11-024,Formiga,LOW,2024-10-01
Boi Preto XI,B11-025,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-026,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-027,Formiga,LOW,2024-10-01
Boi Preto XI,B11-029,Formiga,LOW,2024-10-01
Boi Preto XI,B11-030,Formiga,LOW,2024-10-01
Boi Preto XI,B11-031,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-032,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-033,Formiga,LOW,2024-10-01
Boi Preto XI,B11-034,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-035,Formiga,LOW,2024-10-01
Boi Preto XI,B11-036,Formiga,LOW,2024-10-01
Boi Preto XI,B11-037,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-038,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-039,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-040,Formiga,HIGH,2024-10-01
