farm;plot;pest;severity;date
Gema;GMA-026;Lagarta Desfolhadora;Baixo;2024-07-05
Gema;GMA-026;Lagarta Desfolhadora;Baixo;2024-07-10
Gema;GMA-026;Lagarta Desfolhadora;Baixo;2024-08-16
Gema;GMA-026;Lagarta Desfolhadora;Baixo;2024-11-14
Gema;GMA-027;Lagarta Desfolhadora;Baixo;2024-07-06
Gema;GMA-027;Lagarta Desfolhadora;Baixo;2024-07-11
Gema;GMA-027;Lagarta Desfolhadora;Baixo;2024-08-16
Gema;GMA-027;Lagarta Desfolhadora;Baixo;2024-11-14
Gema;GMA-028;Lagarta Desfolhadora;Baixo;2024-07-07
Gema;GMA-028;Lagarta Desfolhadora;Baixo;2024-07-12
Gema;GMA-028;Lagarta Desfolhadora;Baixo;2024-08-16
Gema;GMA-028;Lagarta Desfolhadora;Baixo;2024-11-14
Gema;GMA-029;Lagarta Desfolhadora;Baixo;2024-07-09
Gema;GMA-029;Lagarta Desfolhadora;Baixo;2024-07-14
Gema;GMA-029;Lagarta Desfolhadora;Baixo;2024-08-16
Gema;GMA-029;Lagarta Desfolhadora;Baixo;2024-11-14
Tereré;TER-001;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-001;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-001;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-001;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-002;Lagarta Desfolhadora;Baixo;2024-05-13
Tereré;TER-002;Lagarta Desfolhadora;Baixo;2024-05-13
Tereré;TER-002;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-002;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-003;Lagarta Desfolhadora;Baixo;2024-05-13
Tereré;TER-003;Lagarta Desfolhadora;Baixo;2024-05-13
Tereré;TER-003;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-003;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-004;Lagarta Desfolhadora;Baixo;2024-05-08
Tereré;TER-004;Lagarta Desfolhadora;Baixo;2024-05-13
Tereré;TER-004;Lagarta Desfolhadora;Baixo;2024-06-06
Tereré;TER-004;Lagarta Desfolhadora;Baixo;2024-06-06
