region;id_project;farm;plot;area_GIS;pest;severity;date
Bandeirante;GMA;Gema;GMA-025;20,61;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-025A;2,02;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-026;78,78;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-027;69,31;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-028;45,22;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-028A;0,6;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-029;58,5;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-030;22,3;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-030A;34,92;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-031;72,13;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-032;36,95;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;GMA;Gema;GMA-035;47,16;Lagarta Desfolhadora;Alto;01/07/24
Bandeirante;B06;Boi Preto VI;B06-108;56,21;Psilideo;Moderado;01/05/24
Bandeirante;B06;Boi Preto VI;B06-109;59,07;Psilideo;Moderado;01/05/24
Bandeirante;B06;Boi Preto VI;B06-102;76,74;Psilideo;Moderado;01/05/24
Bandeirante;B06;Boi Preto VI;B06-103;76,52;Psilideo;Moderado;01/05/24
Bandeirante;B06;Boi Preto VI;B06-104;42,8;Psilideo;Alto;01/05/24
Bandeirante;B06;Boi Preto VI;B06-110;53,82;Psilideo;Alto;01/05/24
Trim;B11;Boi Preto XI;B11-018;34,8;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-025;87,42;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-026;55,66;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-031;77,21;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-032;74,29;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-034;37,8;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-037;74,39;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-038;69,83;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-039;71,31;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-040;68,68;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-041;56,14;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-043;41,63;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-046;41,77;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-052;43,11;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-053;41,15;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-054;42,2;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-055;75,56;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-056;54,1;Formiga;Alto;01/10/24
Trim;B11;Boi Preto XI;B11-057;68,73;Formiga;Alto;01/10/24
